blue_win,game_duration,blue_kills,blue_deaths,blue_assists,blue_gold,blue_gold_15,blue_towers,blue_dragons,blue_barons,blue_vision_score,red_kills,red_deaths,red_assists,red_gold,red_gold_15,red_towers,red_dragons,red_barons,red_vision_score,kill_diff,gold_diff,gold_diff_15,tower_diff,dragon_diff,source
0,10,8,7,9,17689.0,25746.0,0,0,0,20,7,8,7,16114.0,24958.5,0,0,0,17,1,525,787.5,0,0,kaggle
0,10,5,6,8,15584.0,23998.5,0,1,0,17,6,5,8,16829.0,24621.0,0,0,0,17,-1,-415,-622.5,0,1,kaggle
1,10,2,6,1,12791.0,21813.0,0,0,0,12,6,2,4,18044.0,24439.5,0,1,0,16,-4,-1751,-2626.5,0,-1,kaggle
1,10,14,6,10,24678.0,30337.5,1,0,0,14,6,14,6,11319.0,23658.0,0,1,0,19,8,4453,6679.5,1,-1,kaggle
0,10,11,6,10,19596.0,27304.5,0,1,0,19,6,11,2,15417.0,25215.0,0,0,0,33,5,1393,2089.5,0,1,kaggle
1,10,6,5,4,17321.0,25180.5,0,1,0,21,5,6,10,15719.0,24379.5,0,0,0,20,1,534,801.0,0,1,kaggle
0,10,2,11,2,11658.0,22438.5,0,0,0,22,11,2,18,21561.0,27390.0,0,1,0,18,-9,-3301,-4951.5,0,-1,kaggle
1,10,4,7,4,13110.0,22698.0,0,1,0,17,7,4,7,19176.0,25731.0,0,0,0,16,-3,-2022,-3033.0,0,1,kaggle
0,10,3,6,4,16530.0,24531.0,0,0,0,16,6,3,7,16002.0,24267.0,0,1,0,54,-3,176,264.0,0,-1,kaggle
0,10,2,5,2,14194.0,21978.0,0,0,0,16,5,2,3,15568.0,22665.0,0,1,0,14,-3,-458,-687.0,0,-1,kaggle
0,10,4,2,7,16007.0,22996.5,0,0,0,43,2,4,1,13979.0,21982.5,0,1,0,68,2,676,1014.0,0,-1,kaggle
1,10,6,4,5,19538.0,25503.0,0,1,0,24,4,6,0,11930.0,21699.0,0,0,0,17,2,2536,3804.0,0,1,kaggle
1,10,7,11,10,14557.0,24462.0,0,0,0,57,11,7,9,19810.0,27088.5,0,0,0,41,-4,-1751,-2626.5,0,0,kaggle
1,10,7,10,9,14766.0,24423.0,0,0,0,19,10,7,10,19314.0,26697.0,0,1,0,20,-3,-1516,-2274.0,0,-1,kaggle
0,10,3,7,3,11544.0,21165.0,0,0,0,16,7,3,3,19242.0,25014.0,0,0,0,17,-4,-2566,-3849.0,0,0,kaggle
0,10,4,8,5,13403.0,23139.0,0,0,0,88,8,4,4,19472.0,26173.5,0,1,0,18,-4,-2023,-3034.5,0,-1,kaggle
0,10,5,6,4,15707.0,23974.5,0,0,0,16,6,5,8,16535.0,24388.5,0,0,0,19,-1,-276,-414.0,0,0,kaggle
1,10,7,4,5,18375.0,25201.5,0,1,0,22,4,7,3,13653.0,22840.5,0,0,0,13,3,1574,2361.0,0,1,kaggle
1,10,6,3,10,19519.0,25711.5,0,0,0,24,3,6,1,12385.0,22144.5,0,1,0,17,3,2378,3567.0,0,-1,kaggle
0,10,4,9,4,11899.0,22683.0,0,0,0,19,9,4,10,21568.0,27517.5,0,1,0,14,-5,-3223,-4834.5,0,-1,kaggle
0,10,5,5,7,17686.0,25317.0,0,0,0,19,5,5,8,15262.0,24105.0,0,1,0,43,0,808,1212.0,0,-1,kaggle
1,10,8,2,8,22077.0,27411.0,0,0,0,38,2,8,6,10668.0,21706.5,0,0,0,15,6,3803,5704.5,0,0,kaggle
0,10,2,8,3,10816.0,21264.0,0,0,0,22,8,2,7,20896.0,26304.0,0,1,0,22,-6,-3360,-5040.0,0,-1,kaggle
1,10,6,2,9,19946.0,26323.5,0,0,0,20,2,6,1,12755.0,22728.0,0,0,0,24,4,2397,3595.5,0,0,kaggle
0,10,5,8,7,15166.0,24073.5,0,0,0,20,8,5,9,17815.0,25398.0,0,0,0,21,-3,-883,-1324.5,0,0,kaggle
0,10,1,4,1,11379.0,21025.5,0,0,0,15,4,1,5,19293.0,24982.5,0,1,0,42,-3,-2638,-3957.0,0,-1,kaggle
1,10,14,3,16,25174.0,30208.5,0,0,0,21,3,14,5,10069.0,22656.0,0,0,0,17,11,5035,7552.5,0,0,kaggle
0,10,5,8,5,15656.0,24988.5,0,0,0,19,8,5,7,18665.0,26493.0,0,1,0,16,-3,-1003,-1504.5,0,-1,kaggle
0,10,5,8,4,14012.0,23962.5,0,0,0,15,8,5,10,19901.0,26907.0,0,1,0,16,-3,-1963,-2944.5,0,-1,kaggle
0,10,6,7,7,15657.0,25092.0,0,0,0,37,7,6,8,18870.0,26698.5,0,1,0,18,-1,-1071,-1606.5,0,-1,kaggle
1,10,6,5,9,17590.0,25039.5,0,0,0,22,5,6,7,14899.0,23694.0,0,0,0,20,1,897,1345.5,0,0,kaggle
1,10,5,2,4,17871.0,23887.5,0,1,0,21,2,5,2,12033.0,20968.5,0,0,0,20,3,1946,2919.0,0,1,kaggle
0,10,8,8,5,16544.0,25144.5,0,0,0,20,8,8,6,17201.0,25473.0,0,1,0,17,0,-219,-328.5,0,-1,kaggle
1,10,6,4,7,18440.0,25278.0,0,0,0,27,4,6,7,13676.0,22896.0,0,0,0,19,2,1588,2382.0,0,0,kaggle
0,10,2,6,3,13061.0,22425.0,0,0,0,15,6,2,6,18728.0,25258.5,0,1,0,15,-4,-1889,-2833.5,0,-1,kaggle
1,10,2,4,2,14143.0,22294.5,0,1,0,19,4,2,4,16303.0,23374.5,0,0,0,16,-2,-720,-1080.0,0,1,kaggle
0,10,3,12,2,13465.0,23779.5,0,0,0,16,12,3,8,20629.0,27361.5,0,1,0,19,-9,-2388,-3582.0,0,-1,kaggle
0,10,3,13,1,7760.0,20142.0,0,0,0,20,13,3,10,24764.0,28644.0,0,1,0,22,-10,-5668,-8502.0,0,-1,kaggle
1,10,7,8,8,18097.0,26355.0,0,1,0,19,8,7,11,16516.0,25564.5,0,0,0,18,-1,527,790.5,0,1,kaggle
1,10,6,4,3,18057.0,24841.5,0,0,0,23,4,6,4,13569.0,22597.5,0,1,0,61,2,1496,2244.0,0,-1,kaggle
0,10,8,14,4,10825.0,22605.0,0,0,0,21,14,8,12,23560.0,28972.5,0,1,0,20,-6,-4245,-6367.5,0,-1,kaggle
0,10,10,5,17,22576.0,28785.0,0,1,0,25,5,10,8,12418.0,23706.0,0,0,0,21,5,3386,5079.0,0,1,kaggle
0,10,3,8,1,11124.0,21403.5,0,0,0,26,8,3,10,20559.0,26121.0,0,1,0,24,-5,-3145,-4717.5,0,-1,kaggle
0,10,1,5,0,13591.0,22374.0,0,1,0,20,5,1,8,17566.0,24361.5,0,0,0,22,-4,-1325,-1987.5,0,1,kaggle
1,10,5,8,7,14633.0,24384.0,0,1,0,18,8,5,9,19502.0,26818.5,0,0,0,14,-3,-1623,-2434.5,0,1,kaggle
1,10,3,3,3,16307.0,22846.5,0,1,0,21,3,3,0,13079.0,21232.5,0,0,0,26,0,1076,1614.0,0,1,kaggle
1,10,7,10,9,14914.0,24105.0,0,1,0,21,10,7,6,18382.0,25839.0,0,0,0,20,-3,-1156,-1734.0,0,1,kaggle
0,10,3,3,2,15866.0,23124.0,0,0,0,18,3,3,5,14516.0,22449.0,0,0,0,14,0,450,675.0,0,0,kaggle
1,10,7,5,4,23399.0,28554.0,2,0,0,11,5,7,4,10310.0,22009.5,0,0,0,12,2,4363,6544.5,2,0,kaggle
1,10,11,6,13,20476.0,27321.0,0,1,0,23,6,11,6,13690.0,23928.0,0,0,0,22,5,2262,3393.0,0,1,kaggle
0,10,6,9,7,17063.0,26145.0,0,0,0,22,9,6,9,18164.0,26695.5,0,0,0,18,-3,-367,-550.5,0,0,kaggle
1,10,6,3,7,17804.0,24885.0,0,0,0,20,3,6,2,14162.0,23064.0,0,1,0,17,3,1214,1821.0,0,-1,kaggle
1,10,4,1,6,17236.0,23262.0,0,1,0,17,1,4,0,12052.0,20670.0,0,0,0,20,3,1728,2592.0,0,1,kaggle
1,10,6,5,4,17748.0,25183.5,0,0,0,28,5,6,5,14871.0,23745.0,0,1,0,20,1,959,1438.5,0,-1,kaggle
1,10,5,5,6,17222.0,24447.0,0,0,0,78,5,5,5,14450.0,23061.0,0,1,0,18,0,924,1386.0,0,-1,kaggle
1,10,12,2,13,23864.0,28980.0,0,1,0,23,2,12,2,10232.0,22164.0,0,0,0,21,10,4544,6816.0,0,1,kaggle
0,10,4,11,4,10079.0,22389.0,0,1,0,15,11,4,12,24620.0,29659.5,1,0,0,34,-7,-4847,-7270.5,-1,1,kaggle
1,10,9,3,17,19345.0,26244.0,0,1,0,80,3,9,2,13798.0,23470.5,0,0,0,18,6,1849,2773.5,0,1,kaggle
1,10,7,11,7,11286.0,22765.5,0,0,0,16,11,7,9,22959.0,28602.0,0,0,0,41,-4,-3891,-5836.5,0,0,kaggle
0,10,6,9,8,15711.0,25537.5,0,0,0,16,9,6,9,19653.0,27508.5,0,1,0,19,-3,-1314,-1971.0,0,-1,kaggle
1,10,9,5,14,20921.0,27304.5,0,0,0,16,5,9,5,12767.0,23227.5,0,0,0,47,4,2718,4077.0,0,0,kaggle
0,10,3,8,3,12986.0,22740.0,0,0,0,21,8,3,12,19508.0,26001.0,0,1,0,16,-5,-2174,-3261.0,0,-1,kaggle
1,10,4,1,2,16397.0,22956.0,0,1,0,26,1,4,1,13118.0,21316.5,0,0,0,47,3,1093,1639.5,0,1,kaggle
1,10,11,10,8,17288.0,26254.5,0,0,0,20,10,11,13,17933.0,26577.0,0,0,0,56,1,-215,-322.5,0,0,kaggle
1,10,7,6,10,17103.0,24702.0,0,0,0,18,6,7,6,15198.0,23749.5,0,1,0,54,1,635,952.5,0,-1,kaggle
