match_id,blue_win,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5
EUW1_6859979556,1,126,57,112,235,69,68,32,157,429,111
EUW1_6859880111,1,875,141,157,67,99,6,32,13,360,111
EUW1_6859845791,0,106,245,61,22,235,23,19,4,895,350
EUW1_6859488618,1,223,154,98,235,53,86,141,74,51,161
EUW1_6859461543,1,17,141,7,21,267,24,121,901,498,26
EUW1_6858818250,1,31,35,777,21,63,122,141,3,22,147
EUW1_6858760156,0,2,234,84,67,25,54,141,45,22,44
EUW1_6858718048,1,79,245,4,22,101,98,141,157,51,99
EUW1_6858618944,1,6,141,166,18,89,122,254,103,51,99
EUW1_6858558196,0,6,19,26,222,53,887,106,10,51,902
EUW1_6858500448,0,75,56,38,202,25,86,234,69,51,117
EUW1_6858488983,1,86,56,45,429,111,35,200,63,51,25
EUW1_6831760202,1,875,28,3,21,35,106,77,55,51,25
EUW1_7600456481,1,86,895,13,50,432,254,36,45,222,61
EUW1_7600399632,1,82,233,157,22,16,799,36,84,804,99
EUW1_7581131882,0,31,36,7,15,43,92,421,238,222,99
EUW1_7581064117,0,83,35,800,222,99,875,36,61,901,497
EUW1_7580991704,0,887,106,3,202,16,133,36,777,21,78
EUW1_7580880078,0,82,64,3,51,89,106,36,246,901,63
EUW1_7580820221,0,58,876,800,412,202,54,36,68,51,350
EUW1_7580768590,1,887,36,142,21,555,799,245,103,901,350
EUW1_7579046194,1,75,36,25,901,147,92,254,13,45,50
EUW1_7578770044,1,122,234,7,202,147,34,36,246,145,37
EUW1_7578709159,1,83,36,134,145,350,17,19,25,51,99
EUW1_7578534652,1,54,36,517,202,99,27,254,245,221,111
EUW1_7578412732,1,85,36,18,203,99,83,234,245,222,63
EUW1_7578173533,1,83,5,38,145,800,82,76,105,21,54
EUW1_7578069213,0,48,5,950,81,63,36,106,777,236,80
EUW1_7578044487,1,19,5,161,157,89,48,59,105,15,63
