match_id,blue_win,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5
EUW1_6964791670,0,223,120,69,202,89,114,233,55,22,63
EUW1_6959624170,0,36,106,38,18,111,75,5,105,21,25
EUW1_6959575188,0,6,234,136,202,267,24,120,105,21,350
EUW1_6959535247,0,223,154,103,22,99,777,56,163,21,147
EUW1_6958481036,1,223,106,45,21,99,2,64,910,110,518
EUW1_6932674348,1,24,57,63,221,412,223,28,143,18,111
EUW1_6928259994,0,86,9,518,236,57,75,141,84,21,89
EUW1_6927170258,1,86,59,105,221,350,420,24,127,236,37
EUW1_6908057483,0,31,234,69,202,37,54,63,131,221,350
EUW1_6908020502,1,86,131,777,22,154,223,24,58,67,25
EUW1_6907185724,1,31,106,147,67,40,39,102,777,51,22
EUW1_6907140904,1,223,59,166,67,99,82,245,45,222,412
EUW1_6899783953,1,223,121,777,235,53,68,19,910,21,143
EUW1_6899716188,1,223,233,50,67,117,875,11,34,29,53
EUW1_6899674287,0,777,19,103,145,117,223,131,91,895,89
EUW1_6899533085,0,223,234,142,29,412,86,163,777,202,45
EUW1_6967911207,0,82,64,268,51,99,84,121,161,145,526
EUW1_6967150575,0,54,19,31,202,16,777,234,517,21,143
EUW1_6967102979,0,75,427,115,15,26,68,24,136,96,117
EUW1_6967065141,1,104,876,711,81,99,516,24,157,202,25
EUW1_6967033413,0,223,200,950,67,711,39,63,34,202,40
EUW1_6966752719,0,86,154,34,51,117,150,120,45,22,3
EUW1_6966700287,0,98,11,238,18,99,54,234,91,145,80
EUW1_6966673942,1,106,131,55,145,111,85,78,238,15,22
EUW1_6964735843,1,23,19,157,51,235,420,11,105,67,147
EUW1_6964606500,1,48,876,131,51,143,31,32,517,119,89
EUW1_6962603473,1,36,30,166,222,63,82,35,69,202,555
EUW1_6960467450,1,48,120,161,81,99,106,79,246,222,101
EUW1_6960418852,0,23,245,86,202,16,10,143,18,221,117
EUW1_6960347911,1,887,121,103,202,101,122,56,1,15,16
EUW1_6960211878,0,23,11,4,523,89,86,75,90,145,29
EUW1_6960181226,0,420,64,34,67,12,23,131,63,236,350
EUW1_6960123990,0,75,121,4,895,32,82,64,103,222,497
ME1_16011901,1,83,234,84,202,50,266,36,55,51,45
ME1_15939214,0,233,9,90,51,147,122,36,99,21,25
ME1_15937562,0,82,254,99,21,54,27,234,112,51,143
ME1_15938038,1,82,141,90,51,63,6,233,157,498,235
ME1_15917095,0,777,11,99,29,63,875,35,238,51,101
ME1_15917036,1,75,24,166,145,25,17,56,69,51,101
ME1_15913983,1,86,56,245,51,101,10,233,157,360,154
ME1_15863249,0,27,19,777,51,25,23,233,54,21,147
ME1_15861623,0,24,233,157,51,99,23,11,1,222,25
ME1_15861533,0,157,48,7,51,89,122,33,777,222,99
ME1_15855238,1,122,19,82,21,17,875,48,105,51,235
ME1_15853609,1,799,19,7,51,902,133,64,420,18,74
ME1_15851992,1,67,106,777,96,99,523,233,84,18,111
ME1_15838897,1,904,11,17,51,12,36,246,157,22,147
ME1_15839751,1,75,19,238,51,12,41,48,777,360,68
ME1_15840538,1,777,141,711,221,12,10,266,245,523,40
ME1_15829340,0,897,29,55,45,136,2,11,131,51,78
ME1_15826521,0,35,421,90,202,80,96,238,110,51,201
ME1_15823289,1,83,75,157,51,101,67,80,84,222,17
ME1_15820948,0,202,35,105,51,25,110,80,84,21,43
EUW1_7637625156,1,86,78,157,21,99,31,35,161,15,57
EUW1_7637546285,0,875,28,777,360,111,31,35,45,202,267
EUW1_7637496891,1,82,20,360,202,201,86,35,161,51,50
EUW1_7637411205,1,82,234,800,22,99,24,245,268,21,89
EUW1_7636843220,0,420,234,800,51,98,122,245,90,222,26
EUW1_7636831640,1,420,36,777,51,99,904,19,134,145,25
EUW1_7636804019,1,887,24,74,901,25,54,33,893,21,497
EUW1_7636123419,1,799,59,45,21,63,420,31,99,222,89
EUW1_7636065185,1,420,35,99,21,518,54,62,157,18,53
EUW1_7635995998,0,75,11,63,202,43,420,141,34,96,800
EUW1_7635865349,0,75,9,901,21,25,875,517,105,360,99
EUW1_7635742571,0,51,106,90,145,99,420,35,25,202,111
EUW1_7628312390,1,799,25,105,21,223,420,35,45,67,147
EUW1_7623933470,1,7,238,777,145,412,420,24,517,22,32
EUW1_7623302879,1,875,141,136,115,99,420,24,800,51,888
EUW1_7623241599,1,83,234,518,122,10,420,107,4,51,57
EUW1_7623173053,0,420,35,99,115,147,516,131,800,96,902
EUW1_7623129961,0,223,32,55,21,22,92,35,39,81,111
EUW1_7622573792,0,31,48,103,21,89,150,24,777,222,106
EUW1_7622527696,0,14,11,518,145,555,54,517,84,21,63
EUW1_7655741359,1,904,234,25,236,80,31,35,50,81,518
EUW1_7655691560,0,122,203,103,81,80,420,56,246,523,99
EUW1_7655609389,1,31,35,131,21,40,83,32,105,145,267
EUW1_7655518526,1,31,35,800,145,44,8,234,61,202,80
EUW1_7655426447,0,887,234,157,221,54,31,35,105,901,99
EUW1_7655354279,0,875,104,8,221,101,31,35,85,145,25
EUW1_7655288190,1,875,48,84,67,267,420,35,112,145,101
EUW1_7655231965,1,31,35,517,21,518,69,234,157,51,99
EUW1_7654124267,0,27,56,127,18,99,98,35,55,119,25
EUW1_7648576261,1,875,120,112,21,50,420,56,103,115,99
EUW1_7648508067,0,85,517,115,51,35,420,56,134,147,222
EUW1_7648444740,1,420,35,34,18,201,875,131,80,21,12
EUW1_7646024192,1,240,35,7,21,89,133,245,166,67,25
EUW1_7645883144,0,420,11,61,523,80,122,102,55,498,497
EUW1_7645808676,1,420,35,8,51,25,17,876,777,21,50
EUW1_7645759667,1,122,9,950,222,517,420,35,61,498,497
EUW1_7645700605,1,83,120,103,236,267,420,35,7,222,800
EUW1_7661055908,0,887,24,517,67,427,6,245,246,81,99
EUW1_7659365948,1,950,56,910,67,555,17,24,61,18,902
EUW1_7659323752,1,235,59,54,15,57,82,63,45,81,75
EUW1_7659251628,0,75,24,112,236,412,58,131,74,523,26
EUW1_7659179487,0,82,24,69,42,89,27,131,777,221,14
EUW1_7659111238,1,39,24,136,67,98,240,131,84,18,117
EUW1_7655529004,1,39,131,101,18,526,17,799,90,202,37
EUW1_7655459394,0,106,233,13,67,20,36,77,45,22,16
EUW1_7655408790,0,86,141,245,236,161,266,234,101,145,432
EUW1_7623927681,1,904,56,517,202,26,6,62,90,498,37
EUW1_7623889602,0,10,233,517,895,80,164,35,134,81,147
EUW1_7622543627,1,86,33,101,895,147,223,203,800,110,526
EUW1_7513420299,0,86,9,157,15,800,54,106,777,145,101
EUW1_7513388588,1,114,233,131,81,16,54,141,105,901,53
EUW1_7513317832,1,6,78,112,51,25,35,517,134,236,3
EUW1_7513245131,1,799,141,245,81,161,122,5,238,99,89
EUW1_7513192290,0,74,59,84,360,267,75,28,157,222,43
EUW1_7459776865,0,75,141,131,236,800,777,876,54,235,64
EUW1_7459756735,1,157,141,84,67,35,777,106,91,145,412
EUW1_7459729607,0,62,876,800,235,11,83,141,105,81,161
EUW1_7641167267,1,54,131,103,18,432,86,5,45,122,41
EUW1_7469684842,0,82,254,777,51,902,68,200,800,81,99
EUW1_7416237450,1,122,72,105,51,53,86,48,238,202,526
EUW1_7406976180,1,122,141,163,800,98,2,64,61,51,526
EUW1_7403424215,1,122,200,112,22,902,777,56,910,236,16
EUW1_7403376264,0,27,91,910,22,50,82,121,777,110,223
EUW1_7386011728,0,82,234,910,145,117,223,233,157,147,99
EUW1_7378669482,0,17,32,157,901,37,82,60,101,67,412
EUW1_7378634815,1,6,122,103,81,147,875,876,110,67,497
EUW1_7377786488,1,75,950,103,51,143,82,254,157,235,99
EUW1_7374408489,0,2,234,711,236,99,82,35,8,81,902
EUW1_7374348423,0,82,234,8,498,101,887,233,4,222,518
EUW1_7370770402,0,67,9,777,21,117,240,141,103,202,555
EUW1_7370738366,0,82,234,112,145,111,238,83,74,22,99
